,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,0 4 -4,0 4 -4,2 5 -3,2 2 +0,
crazyguy RRQ,,0 3 -3,1 1 +0,1 1 +0,
Kushy RRQ,2 1 +1,0 1 -1,0 2 -2,2 5 -3,
Jemkin RRQ,3 2 +1,5 2 +3,9 6 +3,3 1 +2,2 2 +0
Monyet RRQ,1 3 -2,1 3 -2,2 7 -5,2 4 -2,3 2 +1
