,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,1 4 -3,1 3 -2,3 1 +2,1 3 -2,1 4 -3
crazyguy RRQ,1 4 -3,2 2 +0,2 3 -1,3 2 +1,1 4 -3
Kushy RRQ,1 1 +0,1 2 -1,0 3 -3,0 6 -6,2 3 -1
Jemkin RRQ,2 1 +1,2 3 -1,2 7 -5,0 2 -2,1 2 -1
Monyet RRQ,4 4 +0,1 1 +0,2 3 -1,3 3 +0,3 3 +0
