,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,,,0 3 -3,,
crazyguy RRQ,,,0 2 -2,,
Kushy RRQ,,,0 3 -3,1 0 +1,1 0 +1
Jemkin RRQ,,2 0 +2,2 8 -6,,1 0 +1
Monyet RRQ,1 1 +0,1 0 +1,0 6 -6,,
