,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,0 1 -1,0 2 -2,0 1 -1,1 0 +1,
crazyguy RRQ,,0 3 -3,1 0 +1,,
Kushy RRQ,1 0 +1,,,,
Jemkin RRQ,,1 0 +1,3 1 +2,3 0 +3,
Monyet RRQ,,1 1 +0,2 0 +2,0 2 -2,1 1 +0
