,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,,0 1 -1,0 2 -2,,
crazyguy RRQ,,,,,
Kushy RRQ,1 0 +1,,,1 1 +0,
Jemkin RRQ,2 1 +1,2 0 +2,2 1 +1,,1 1 +0
Monyet RRQ,1 0 +1,0 1 -1,0 4 -4,2 0 +2,1 1 +0
