,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,0 4 -4,3 2 +1,3 0 +3,0 5 -5,0 1 -1
crazyguy RRQ,1 2 -1,3 0 +3,1 2 -1,1 3 -2,1 4 -3
Kushy RRQ,1 2 -1,0 3 -3,1 3 -2,2 6 -4,1 1 +0
Jemkin RRQ,1 2 -1,1 2 -1,2 1 +1,2 5 -3,5 0 +5
Monyet RRQ,2 4 -2,2 1 +1,0 3 -3,0 7 -7,1 0 +1
