,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,0 4 -4,5 3 +2,2 2 +0,5 1 +4,4 2 +2
crazyguy RRQ,3 2 +1,5 2 +3,1 3 -2,5 3 +2,3 3 +0
Kushy RRQ,3 2 +1,0 1 -1,3 2 +1,2 6 -4,3 1 +2
Jemkin RRQ,4 1 +3,2 2 +0,7 3 +4,2 4 -2,2 2 +0
Monyet RRQ,3 2 +1,3 2 +1,1 3 -2,0 2 -2,3 3 +0
