,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,3 4 -1,4 5 -1,1 3 -2,3 5 -2,2 0 +2
crazyguy RRQ,3 3 +0,1 7 -6,2 6 -4,2 1 +1,3 1 +2
Kushy RRQ,2 3 -1,2 5 -3,2 5 -3,5 4 +1,2 2 +0
Jemkin RRQ,6 3 +3,9 0 +9,7 3 +4,6 6 +0,4 5 -1
Monyet RRQ,4 5 -1,3 5 -2,6 3 +3,0 5 -5,5 5 +0
