,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,5 18 -13,14 15 -1,13 8 +5,12 17 -5,12 8 +4
crazyguy RRQ,10 14 -4,12 14 -2,8 16 -8,12 15 -3,9 14 -5
Kushy RRQ,13 9 +4,11 17 -6,12 15 -3,17 24 -7,11 12 -1
Jemkin RRQ,20 11 +9,21 11 +10,21 19 +2,13 19 -6,19 11 +8
Monyet RRQ,17 19 -2,12 12 +0,13 18 -5,6 19 -13,16 17 -1
