,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,1 2 -1,1 2 -1,4 2 +2,3 3 +0,5 1 +4
crazyguy RRQ,2 3 -1,1 3 -2,2 2 +0,1 6 -5,1 2 -1
Kushy RRQ,6 1 +5,8 6 +2,6 2 +4,8 2 +6,3 5 -2
Jemkin RRQ,7 4 +3,7 4 +3,3 5 -2,3 2 +1,7 2 +5
Monyet RRQ,4 4 +0,3 3 +0,4 6 -2,3 2 +1,4 6 -2
