,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX,PatMen PRX
xffero RRQ,,,0 1 -1,,
crazyguy RRQ,,,0 1 -1,,
Kushy RRQ,,,0 1 -1,,
Jemkin RRQ,,,0 4 -4,,
Monyet RRQ,,,0 1 -1,,
