,Filu MKOI,nataNk MKOI,MONSTEERR MKOI,flyuh MKOI,baddyG MKOI
keiko TL,,3 0 +3,,,
nAts TL,,,0 1 -1,,0 2 -2
trexx TL,,,,0 1 -1,0 1 -1
paTiTek TL,0 2 -2,,,,0 1 -1
kamo TL,1 0 +1,1 2 -1,0 2 -2,0 2 -2,2 2 +0
