,Filu MKOI,nataNk MKOI,MONSTEERR MKOI,flyuh MKOI,baddyG MKOI
keiko TL,13 8 +5,17 7 +10,15 9 +6,13 9 +4,8 8 +0
nAts TL,11 8 +3,9 11 -2,10 10 +0,14 7 +7,14 11 +3
trexx TL,10 4 +6,4 6 -2,6 10 -4,8 14 -6,7 9 -2
paTiTek TL,7 6 +1,7 3 +4,11 12 -1,1 14 -13,6 9 -3
kamo TL,12 6 +6,9 8 +1,3 11 -8,11 10 +1,11 10 +1
