,Filu MKOI,nataNk MKOI,MONSTEERR MKOI,flyuh MKOI,baddyG MKOI
keiko TL,0 1 -1,1 1 +0,,,
nAts TL,,1 1 +0,0 1 -1,,1 1 +0
trexx TL,1 0 +1,,,,0 1 -1
paTiTek TL,,,1 1 +0,0 1 -1,1 1 +0
kamo TL,0 1 -1,1 1 +0,,1 1 +0,1 0 +1
