,Munchkin GEN,Foxy9 GEN,Ash GEN,Karon GEN,t3xture GEN
Alfajer FNC,4 2 +2,2 6 -4,4 1 +3,4 3 +1,1 4 -3
Boaster FNC,1 3 -2,1 3 -2,0 3 -3,2 0 +2,0 3 -3
crashies FNC,2 2 +0,3 3 +0,0 1 -1,2 2 +0,4 3 +1
Chronicle FNC,2 1 +1,3 3 +0,0 4 -4,2 1 +1,3 6 -3
kaajak FNC,2 0 +2,1 6 -5,5 2 +3,2 1 +1,2 5 -3
