,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
crashies FNC,,1 Round 5 Foxy9 Ash,1 Round 3 Ash Karon Munchkin,1 Round 7 t3xture Foxy9 Karon Munchkin,,,1 Round 3 Munchkin Karon,,,,44,8,1
Boaster FNC,,3 Round 14 Foxy9 Ash Round 18 Munchkin Ash Round 24 Munchkin Foxy9,,,,,,,,,33,1,0
Chronicle FNC,,3 Round 14 Karon Munchkin Round 17 Ash t3xture Round 22 Foxy9 Munchkin,,1 Round 9 Karon Munchkin t3xture Ash,,1 Round 9 Ash,,,,,63,1,1
kaajak FNC,,,3 Round 19 Ash Karon Foxy9 Round 21 Karon Munchkin Ash Round 23 Ash Foxy9 Karon,,,1 Round 20 Ash,,,,,57,1,1
Alfajer FNC,,7 Round 3 Foxy9 t3xture Round 10 Karon Ash Round 13 Munchkin Ash Round 16 Foxy9 Munchkin Round 20 Foxy9 Karon Round 25 Foxy9 Ash Round 26 Foxy9 Karon,1 Round 24 t3xture Karon Ash,,,,,,,,59,1,0
Munchkin GEN,,3 Round 11 crashies kaajak Munchkin Round 19 Boaster Alfajer Round 21 Alfajer Chronicle,,1 Round 5 kaajak Boaster Alfajer Chronicle,,1 Round 11 kaajak,,,,,48,2,0
t3xture GEN,,4 Round 1 Chronicle crashies Round 13 Chronicle kaajak Round 15 crashies Chronicle Round 16 kaajak Boaster,1 Round 19 kaajak Chronicle crashies,,,,1 Round 16 kaajak Boaster,1 Round 19 kaajak crashies Chronicle,,,44,0,2
Foxy9 GEN,,1 Round 10 Boaster Alfajer,1 Round 8 Boaster Alfajer kaajak,,,,,,,,21,1,0
Ash GEN,,4 Round 2 Alfajer kaajak Round 9 kaajak crashies Round 16 Chronicle Alfajer Round 22 Boaster crashies,2 Round 4 crashies Alfajer kaajak Round 20 Alfajer crashies kaajak Ash,,,,,,,,47,8,0
Karon GEN,,3 Round 1 Boaster kaajak Round 8 Chronicle crashies Round 15 Alfajer kaajak,2 Round 3 Chronicle kaajak Alfajer Round 12 Alfajer crashies Chronicle,,,,,,,,51,1,0
