,Munchkin GEN,Foxy9 GEN,Ash GEN,Karon GEN,t3xture GEN
Alfajer FNC,2 3 -1,2 3 -1,3 1 +2,2 6 -4,2 7 -5
Boaster FNC,1 4 -3,1 3 -2,2 3 -1,3 2 +1,2 4 -2
crashies FNC,8 7 +1,6 1 +5,2 4 -2,5 2 +3,0 2 -2
Chronicle FNC,1 5 -4,3 3 +0,2 2 +0,3 2 +1,6 3 +3
kaajak FNC,3 2 +1,4 2 +2,4 3 +1,3 6 -3,6 4 +2
