,Munchkin GEN,Foxy9 GEN,Ash GEN,Karon GEN,t3xture GEN
Alfajer FNC,4 1 +3,2 0 +2,1 0 +1,2 3 -1,3 2 +1
Boaster FNC,1 4 -3,1 0 +1,0 1 -1,0 1 -1,0 2 -2
crashies FNC,,2 0 +2,,1 0 +1,1 0 +1
Chronicle FNC,1 1 +0,1 0 +1,0 1 -1,0 1 -1,4 4 +0
kaajak FNC,2 2 +0,1 1 +0,1 3 -2,2 4 -2,7 1 +6
