,Munchkin GEN,Foxy9 GEN,Ash GEN,Karon GEN,t3xture GEN
Alfajer FNC,,,,,1 3 -2
Boaster FNC,,,,,0 1 -1
crashies FNC,,,,,0 1 -1
Chronicle FNC,,,,,0 4 -4
kaajak FNC,,,,,0 1 -1
