,Munchkin GEN,Foxy9 GEN,Ash GEN,Karon GEN,t3xture GEN
Alfajer FNC,2 0 +2,2 0 +2,,0 1 -1,3 1 +2
Boaster FNC,0 1 -1,1 0 +1,0 1 -1,0 1 -1,0 1 -1
crashies FNC,,1 0 +1,,,
Chronicle FNC,0 1 -1,,,0 1 -1,1 1 +0
kaajak FNC,0 1 -1,,1 1 +0,1 0 +1,3 0 +3
