,Munchkin GEN,Foxy9 GEN,Ash GEN,Karon GEN,t3xture GEN
Alfajer FNC,1 1 +0,,1 0 +1,0 2 -2,0 1 -1
Boaster FNC,1 2 -1,,,,0 1 -1
crashies FNC,,1 0 +1,,,
Chronicle FNC,,,,,1 1 +0
kaajak FNC,1 1 +0,1 0 +1,0 1 -1,0 3 -3,4 0 +4
