,Munchkin GEN,Foxy9 GEN,Ash GEN,Karon GEN,t3xture GEN
Alfajer FNC,1 0 +1,,,2 0 +2,
Boaster FNC,0 1 -1,,,,
crashies FNC,,,,1 0 +1,1 0 +1
Chronicle FNC,1 0 +1,1 0 +1,0 1 -1,,2 2 +0
kaajak FNC,1 0 +1,0 1 -1,0 1 -1,1 1 +0,0 1 -1
