,Foxy9 DRX,Flashback DRX,BuZz DRX,BeYN DRX,MaKo DRX
Boaster FNC,,,,,
hiro FNC,,,,,
Chronicle FNC,,,0 1 -1,,
Derke FNC,1 2 -1,,,,
Alfajer FNC,0 1 -1,,,,
