,Foxy9 DRX,Flashback DRX,BuZz DRX,BeYN DRX,MaKo DRX
Boaster FNC,1 2 -1,0 1 -1,2 4 -2,3 3 +0,1 6 -5
hiro FNC,4 1 +3,5 2 +3,2 3 -1,2 7 -5,5 5 +0
Chronicle FNC,3 4 -1,3 2 +1,1 6 -5,4 1 +3,1 2 -1
Derke FNC,2 3 -1,2 3 -1,4 7 -3,3 3 +0,1 2 -1
Alfajer FNC,6 2 +4,3 5 -2,4 4 +0,6 1 +5,6 3 +3
