,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boaster FNC,,1 Round 12 BeYN BuZz,,,,1 Round 4 BuZz,,,,,24,1,0
Chronicle FNC,,2 Round 16 BeYN Flashback Round 17 Foxy9 BeYN,1 Round 13 Foxy9 Flashback MaKo,,,,,,,,43,0,1
Derke FNC,,4 Round 5 BuZz Foxy9 Round 6 BuZz BeYN Round 11 MaKo BuZz Round 14 BuZz Foxy9,,,,,,,,,33,5,0
Alfajer FNC,,5 Round 4 MaKo Foxy9 Round 5 MaKo BeYN Round 16 BuZz Foxy9 Round 17 BuZz MaKo Round 19 Flashback Foxy9,2 Round 11 Flashback BeYN Foxy9 Round 18 BuZz BeYN MaKo,1 Round 23 BuZz Foxy9 MaKo BeYN,,1 Round 23 BeYN,1 Round 18 BeYN MaKo,,,,83,1,3
hiro FNC,,2 Round 12 MaKo Flashback Round 20 BuZz Foxy9,,1 Round 1 Foxy9 MaKo BuZz Flashback,,,,,,,46,0,1
BuZz DRX,,4 Round 1 Chronicle Derke Round 5 hiro Chronicle Round 8 Chronicle Alfajer Round 18 Derke Boaster,3 Round 3 Boaster Derke Alfajer Round 23 Derke Boaster Chronicle Round 24 hiro Alfajer Chronicle,,,,,,,,77,0,1
MaKo DRX,,3 Round 9 Alfajer Boaster Round 13 Derke Alfajer Round 16 Boaster Derke,1 Round 20 Boaster hiro Alfajer,,,,,,,,59,2,0
BeYN DRX,,3 Round 4 hiro Derke Round 11 Boaster hiro Round 22 Derke Boaster,1 Round 10 hiro Chronicle Alfajer,,,,,,,,48,3,0
Foxy9 DRX,,3 Round 6 Alfajer Derke Round 20 Derke Chronicle Round 24 Derke Boaster,,,,,,,,,37,6,0
Flashback DRX,,4 Round 5 Derke Alfajer Round 12 Chronicle Alfajer Round 16 Alfajer hiro Round 17 Boaster hiro,,,,1 Round 5 Alfajer,,1 Round 16 Alfajer hiro Chronicle,,,41,0,1
