,Foxy9 DRX,Flashback DRX,BuZz DRX,BeYN DRX,MaKo DRX
Boaster FNC,,,1 2 -1,1 1 +0,0 2 -2
hiro FNC,1 0 +1,,0 3 -3,1 0 +1,0 1 -1
Chronicle FNC,1 0 +1,1 0 +1,0 6 -6,1 0 +1,
Derke FNC,2 3 -1,0 1 -1,2 2 +0,1 1 +0,
Alfajer FNC,1 1 +0,1 1 +0,2 1 +1,1 0 +1,1 0 +1
