,Foxy9 DRX,Flashback DRX,BuZz DRX,BeYN DRX,MaKo DRX
Boaster FNC,3 2 +1,2 3 -1,6 8 -2,3 7 -4,2 9 -7
hiro FNC,5 2 +3,5 5 +0,2 8 -6,4 8 -4,8 9 -1
Chronicle FNC,4 6 -2,4 2 +2,2 13 -11,7 3 +4,3 7 -4
Derke FNC,8 9 -1,5 5 +0,8 11 -3,4 3 +1,3 4 -1
Alfajer FNC,11 4 +7,7 7 +0,8 7 +1,10 4 +6,9 5 +4
