,Foxy9 DRX,Flashback DRX,BuZz DRX,BeYN DRX,MaKo DRX
Boaster FNC,,,1 0 +1,1 1 +0,0 1 -1
hiro FNC,,,0 2 -2,1 0 +1,0 1 -1
Chronicle FNC,1 0 +1,1 0 +1,0 3 -3,,
Derke FNC,,0 1 -1,0 1 -1,1 1 +0,
Alfajer FNC,0 1 -1,1 1 +0,2 0 +2,1 0 +1,1 0 +1
