,Foxy9 DRX,Flashback DRX,BuZz DRX,BeYN DRX,MaKo DRX
Boaster FNC,,,0 2 -2,,0 1 -1
hiro FNC,1 0 +1,,0 1 -1,,
Chronicle FNC,,,0 3 -3,1 0 +1,
Derke FNC,2 3 -1,,2 1 +1,,
Alfajer FNC,1 0 +1,,0 1 -1,,
