,Foxy9 DRX,Flashback DRX,BuZz DRX,BeYN DRX,MaKo DRX
Boaster FNC,2 0 +2,2 2 +0,4 4 +0,0 4 -4,1 3 -2
hiro FNC,1 1 +0,0 3 -3,0 5 -5,2 1 +1,3 4 -1
Chronicle FNC,1 2 -1,1 0 +1,1 7 -6,3 2 +1,2 5 -3
Derke FNC,6 6 +0,3 2 +1,4 4 +0,1 0 +1,2 2 +0
Alfajer FNC,5 2 +3,4 2 +2,4 3 +1,4 3 +1,3 2 +1
