,happywei XLG,NoMan XLG,Rarga XLG,coconut XLG,Viva XLG
Cloud GX,,,0 1 -1,,0 1 -1
westside GX,0 1 -1,1 0 +1,1 0 +1,1 0 +1,
ara GX,3 0 +3,2 0 +2,2 1 +1,,
grubinho GX,1 0 +1,2 0 +2,0 4 -4,,1 0 +1
Flickless GX,0 1 -1,0 1 -1,0 1 -1,,1 0 +1
