,happywei XLG,NoMan XLG,Rarga XLG,coconut XLG,Viva XLG
Cloud GX,4 6 -2,5 8 -3,8 8 +0,11 4 +7,5 10 -5
westside GX,6 10 -4,5 8 -3,11 4 +7,7 5 +2,3 7 -4
ara GX,14 5 +9,7 9 -2,11 6 +5,12 2 +10,10 9 +1
grubinho GX,6 4 +2,5 9 -4,6 13 -7,2 4 -2,6 6 +0
Flickless GX,7 9 -2,8 6 +2,4 6 -2,3 4 -1,3 5 -2
