,happywei XLG,NoMan XLG,Rarga XLG,coconut XLG,Viva XLG
Cloud GX,,,0 2 -2,,
westside GX,1 0 +1,0 1 -1,0 1 -1,1 0 +1,0 1 -1
ara GX,5 1 +4,0 2 -2,,1 1 +0,0 1 -1
grubinho GX,2 0 +2,0 1 -1,,,
Flickless GX,,1 0 +1,0 1 -1,,
