,dos9 BME,Famouz BME,NcSlasher BME,BerserX BME,Shiro BME
Suggest GEN,5 4 +1,8 13 -5,4 11 -7,3 10 -7,9 5 +4
Karon GEN,3 14 -11,8 7 +1,7 6 +1,8 6 +2,7 7 +0
Munchkin GEN,8 12 -4,13 8 +5,12 7 +5,5 3 +2,8 6 +2
t3xture GEN,8 13 -5,9 9 +0,6 8 -2,8 7 +1,8 5 +3
Ash GEN,6 14 -8,3 10 -7,8 5 +3,8 7 +1,4 4 +0
