,dos9 BME,Famouz BME,NcSlasher BME,BerserX BME,Shiro BME
Suggest GEN,,1 1 +0,0 1 -1,0 1 -1,
Karon GEN,,,,,1 0 +1
Munchkin GEN,1 0 +1,1 1 +0,,,0 1 -1
t3xture GEN,,1 3 -2,1 2 -1,1 2 -1,
Ash GEN,,2 0 +2,,,
