,dos9 BME,Famouz BME,NcSlasher BME,BerserX BME,Shiro BME
Suggest GEN,,2 3 -1,,,1 0 +1
Karon GEN,,1 0 +1,1 0 +1,,0 1 -1
Munchkin GEN,,5 2 +3,1 0 +1,1 0 +1,2 1 +1
t3xture GEN,1 3 -2,1 1 +0,,,1 0 +1
Ash GEN,1 0 +1,,0 1 -1,2 0 +2,
