,dos9 BME,Famouz BME,NcSlasher BME,BerserX BME,Shiro BME
Suggest GEN,1 2 -1,3 5 -2,1 4 -3,1 5 -4,2 3 -1
Karon GEN,1 5 -4,4 2 +2,4 3 +1,5 3 +2,5 2 +3
Munchkin GEN,5 6 -1,5 2 +3,3 5 -2,2 1 +1,2 3 -1
t3xture GEN,2 3 -1,2 6 -4,2 6 -4,3 3 +0,1 2 -1
Ash GEN,2 6 -4,3 3 +0,5 1 +4,2 3 -1,2 3 -1
