,dos9 BME,Famouz BME,NcSlasher BME,BerserX BME,Shiro BME
Suggest GEN,4 2 +2,5 8 -3,3 7 -4,2 5 -3,7 2 +5
Karon GEN,2 9 -7,4 5 -1,3 3 +0,3 3 +0,2 5 -3
Munchkin GEN,3 6 -3,8 6 +2,9 2 +7,3 2 +1,6 3 +3
t3xture GEN,6 10 -4,7 3 +4,4 2 +2,5 4 +1,7 3 +4
Ash GEN,4 8 -4,0 7 -7,3 4 -1,6 4 +2,2 1 +1
