,stellar FUR,jakee FUR,bdog FUR,penny FUR,Add3r FUR
lz 2G,2 3 -1,1 5 -4,5 2 +3,1 5 -4,5 1 +4
pryze 2G,3 3 +0,2 6 -4,0 1 -1,0 3 -3,0 1 -1
gobera 2G,2 2 +0,3 1 +2,1 1 +0,1 9 -8,5 3 +2
silentzz 2G,3 4 -1,2 2 +0,0 4 -4,2 4 -2,4 3 +1
Zap 2G,2 3 -1,1 5 -4,2 4 -2,4 1 +3,0 2 -2
