,stellar FUR,jakee FUR,bdog FUR,penny FUR,Add3r FUR
lz 2G,2 1 +1,0 1 -1,0 1 -1,0 2 -2,3 0 +3
pryze 2G,,,,,
gobera 2G,1 0 +1,2 0 +2,,1 2 -1,0 1 -1
silentzz 2G,3 2 +1,2 0 +2,,3 1 +2,3 3 +0
Zap 2G,0 1 -1,,0 1 -1,0 2 -2,
