,stellar FUR,jakee FUR,bdog FUR,penny FUR,Add3r FUR
lz 2G,5 3 +2,1 3 -2,2 3 -1,2 1 +1,2 4 -2
pryze 2G,2 2 +0,1 4 -3,1 2 -1,1 2 -1,3 4 -1
gobera 2G,2 2 +0,5 2 +3,5 4 +1,6 4 +2,5 2 +3
silentzz 2G,3 4 -1,4 0 +4,3 4 -1,4 3 +1,2 5 -3
Zap 2G,0 3 -3,5 1 +4,2 3 -1,1 5 -4,1 3 -2
