,stellar FUR,jakee FUR,bdog FUR,penny FUR,Add3r FUR
lz 2G,7 6 +1,2 8 -6,7 5 +2,3 6 -3,7 5 +2
pryze 2G,5 5 +0,3 10 -7,1 3 -2,1 5 -4,3 5 -2
gobera 2G,4 4 +0,8 3 +5,6 5 +1,7 13 -6,10 5 +5
silentzz 2G,6 8 -2,6 2 +4,3 8 -5,6 7 -1,6 8 -2
Zap 2G,2 6 -4,6 6 +0,4 7 -3,5 6 -1,1 5 -4
