,NaturE EG,supamen EG,icy EG,Derrek EG,yay EG
Cryocells 100T,2 0 +2,1 0 +1,0 2 -2,,
Asuna 100T,1 0 +1,,2 0 +2,,
zander 100T,,,1 0 +1,1 0 +1,
Kess 100T,,1 1 +0,,1 0 +1,
eeiu 100T,0 1 -1,1 0 +1,,,1 1 +0
