,NaturE EG,supamen EG,icy EG,Derrek EG,yay EG
Cryocells 100T,4 1 +3,2 1 +1,1 2 -1,6 1 +5,2 3 -1
Asuna 100T,4 1 +3,4 0 +4,8 2 +6,2 1 +1,2 1 +1
zander 100T,2 2 +0,1 1 +0,3 2 +1,1 3 -2,3 2 +1
Kess 100T,3 4 -1,4 2 +2,2 2 +0,3 1 +2,3 3 +0
eeiu 100T,0 3 -3,3 0 +3,1 2 -1,3 0 +3,3 2 +1
