,NaturE EG,supamen EG,icy EG,Derrek EG,yay EG
Cryocells 100T,7 2 +5,3 6 -3,4 2 +2,3 4 -1,7 3 +4
Asuna 100T,1 1 +0,2 3 -1,4 5 -1,3 3 +0,1 7 -6
zander 100T,3 3 +0,4 1 +3,4 5 -1,5 6 -1,7 1 +6
Kess 100T,3 3 +0,4 3 +1,1 5 -4,6 2 +4,0 5 -5
eeiu 100T,4 2 +2,7 2 +5,6 5 +1,4 3 +1,5 4 +1
