,NaturE EG,supamen EG,icy EG,Derrek EG,yay EG
Cryocells 100T,11 3 +8,5 7 -2,5 4 +1,9 5 +4,9 6 +3
Asuna 100T,5 2 +3,6 3 +3,12 7 +5,5 4 +1,3 8 -5
zander 100T,5 5 +0,5 2 +3,7 7 +0,6 9 -3,10 3 +7
Kess 100T,6 7 -1,8 5 +3,3 7 -4,9 3 +6,3 8 -5
eeiu 100T,4 5 -1,10 2 +8,7 7 +0,7 3 +4,8 6 +2
