,NaturE EG,supamen EG,icy EG,Derrek EG,yay EG
Cryocells 100T,2 0 +2,1 0 +1,0 1 -1,1 0 +1,4 0 +4
Asuna 100T,,,1 1 +0,0 1 -1,1 1 +0
zander 100T,1 0 +1,,2 1 +1,,2 0 +2
Kess 100T,,,,1 0 +1,0 1 -1
eeiu 100T,1 0 +1,,1 0 +1,0 2 -2,
