,Monyet RRQ,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ
Persia NS,0 1 -1,1 1 +0,,,1 0 +1
Dambi NS,0 2 -2,0 1 -1,2 1 +1,,0 1 -1
Francis NS,0 1 -1,1 0 +1,,,
margaret NS,0 1 -1,,1 2 -1,1 0 +1,
Ivy NS,,1 0 +1,,,
