,Monyet RRQ,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ
Persia NS,1 4 -3,5 1 +4,5 4 +1,5 1 +4,4 3 +1
Dambi NS,1 1 +0,1 5 -4,0 2 -2,1 4 -3,3 2 +1
Francis NS,3 4 -1,5 0 +5,3 1 +2,5 2 +3,2 6 -4
margaret NS,2 2 +0,3 1 +2,1 4 -3,2 1 +1,1 5 -4
Ivy NS,4 3 +1,3 3 +0,4 2 +2,3 0 +3,1 2 -1
