,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Persia NS,,5 Round 8 Jemkin Kushy Round 11 Jemkin xffero Round 14 Monyet Kushy Round 15 Jemkin crazyguy Round 17 Jemkin xffero,1 Round 4 Kushy xffero crazyguy,,,,,,,,83,1,0
Dambi NS,,1 Round 14 Jemkin xffero,,,,,,,,,26,0,1
Francis NS,,5 Round 7 Monyet crazyguy Round 10 Jemkin Kushy Round 17 Kushy crazyguy Round 20 Jemkin crazyguy Round 21 Kushy Monyet,1 Round 13 Monyet Jemkin xffero,,,1 Round 8 xffero,,,,,86,4,0
Ivy NS,,4 Round 6 Jemkin Kushy Round 8 crazyguy Monyet Round 11 Monyet Kushy Round 21 crazyguy Jemkin,1 Round 19 Monyet crazyguy Kushy,,,,,,,,68,2,0
margaret NS,,2 Round 4 Jemkin Monyet Round 10 crazyguy Monyet,,,,1 Round 4 Monyet,,,,,33,0,0
crazyguy RRQ,,,,,,,,,,,38,0,0
Kushy RRQ,,1 Round 2 margaret Ivy,2 Round 12 Ivy Francis Persia Round 19 margaret Dambi Persia,,,,,,,,56,1,1
xffero RRQ,,5 Round 3 Persia margaret Round 6 Dambi Ivy Round 8 Ivy Persia Round 9 margaret Francis Round 21 Persia Francis,1 Round 7 margaret Dambi Francis,,,,,,,,80,0,1
Monyet RRQ,,1 Round 4 Francis Persia,1 Round 6 Persia Francis margaret,,,,,,,,48,0,0
Jemkin RRQ,,,1 Round 1 Persia Dambi Ivy,,,,,,,,33,0,1
