,Monyet RRQ,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ
Persia NS,2 1 +1,2 7 -5,2 1 +1,5 3 +2,1 2 -1
Dambi NS,2 0 +2,2 5 -3,3 7 -4,2 0 +2,1 2 -1
Francis NS,2 2 +0,1 4 -3,2 4 -2,1 3 -2,2 3 -1
margaret NS,1 2 -1,2 3 -1,0 3 -3,1 6 -5,4 2 +2
Ivy NS,2 4 -2,3 3 +0,0 4 -4,0 3 -3,3 0 +3
