,Monyet RRQ,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ
Persia NS,6 12 -6,9 10 -1,8 6 +2,12 5 +7,9 6 +3
Dambi NS,6 4 +2,6 13 -7,6 10 -4,5 5 +0,7 8 -1
Francis NS,8 8 +0,9 9 +0,7 8 -1,10 8 +2,6 12 -6
margaret NS,4 6 -2,11 5 +6,3 13 -10,6 8 -2,7 8 -1
Ivy NS,10 9 +1,7 9 -2,9 9 +0,5 6 -1,6 4 +2
