,Monyet RRQ,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ
Persia NS,3 7 -4,2 2 +0,1 1 +0,2 1 +1,4 1 +3
Dambi NS,3 3 +0,3 3 +0,3 1 +2,2 1 +1,3 4 -1
Francis NS,3 2 +1,3 5 -2,2 3 -1,4 3 +1,2 3 -1
margaret NS,1 2 -1,6 1 +5,2 6 -4,3 1 +2,2 1 +1
Ivy NS,4 2 +2,1 3 -2,5 3 +2,2 3 -1,2 2 +0
