,Monyet RRQ,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ
Persia NS,,1 0 +1,,,
Dambi NS,,0 3 -3,,0 2 -2,
Francis NS,1 0 +1,3 0 +3,,,
margaret NS,0 1 -1,1 1 +0,1 1 +0,1 0 +1,0 1 -1
Ivy NS,,2 1 +1,,1 0 +1,
