,Monyet RRQ,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ
Persia NS,1 0 +1,0 2 -2,,,
Dambi NS,,1 2 -1,2 3 -1,,0 1 -1
Francis NS,,0 2 -2,,,1 0 +1
margaret NS,,0 3 -3,,,
Ivy NS,,,,,
