,Asuna 100T,eeiu 100T,bang 100T,Boostio 100T,Cryocells 100T
aspas LEV,6 3 +3,1 1 +0,4 4 +0,4 7 -3,8 1 +7
tex LEV,5 4 +1,2 4 -2,3 2 +1,3 2 +1,4 3 +1
kiNgg LEV,6 4 +2,4 1 +3,3 1 +2,3 3 +0,2 4 -2
C0M LEV,1 4 -3,2 5 -3,3 0 +3,1 2 -1,3 2 +1
Mazino LEV,2 2 +0,4 2 +2,3 2 +1,6 6 +0,2 3 -1
