,Asuna 100T,eeiu 100T,bang 100T,Boostio 100T,Cryocells 100T
aspas LEV,9 7 +2,3 3 +0,7 5 +2,9 9 +0,14 2 +12
tex LEV,6 7 -1,4 6 -2,4 7 -3,6 2 +4,9 4 +5
kiNgg LEV,12 4 +8,7 5 +2,7 1 +6,5 6 -1,3 5 -2
C0M LEV,1 6 -5,4 8 -4,5 1 +4,2 3 -1,4 5 -1
Mazino LEV,5 3 +2,8 4 +4,8 6 +2,10 7 +3,3 4 -1
