,Asuna 100T,eeiu 100T,bang 100T,Boostio 100T,Cryocells 100T
aspas LEV,0 1 -1,1 0 +1,1 0 +1,2 1 +1,2 0 +2
tex LEV,,0 1 -1,,,1 0 +1
kiNgg LEV,1 0 +1,,,0 1 -1,
C0M LEV,,,1 0 +1,1 0 +1,1 1 +0
Mazino LEV,,,1 0 +1,,
