,Asuna 100T,eeiu 100T,bang 100T,Boostio 100T,Cryocells 100T
aspas LEV,2 1 +1,,3 1 +2,0 1 -1,2 1 +1
tex LEV,0 1 -1,,1 1 +0,,
kiNgg LEV,1 1 +0,,2 1 +1,,
C0M LEV,0 2 -2,,,1 0 +1,1 0 +1
Mazino LEV,,,,,
