,Asuna 100T,eeiu 100T,bang 100T,Boostio 100T,Cryocells 100T
aspas LEV,2 2 +0,1 0 +1,4 1 +3,2 2 +0,4 1 +3
tex LEV,0 1 -1,0 1 -1,1 1 +0,,1 0 +1
kiNgg LEV,2 1 +1,,2 1 +1,0 1 -1,
C0M LEV,0 2 -2,,1 0 +1,2 0 +2,2 1 +1
Mazino LEV,,,1 0 +1,,
