,Asuna 100T,eeiu 100T,bang 100T,Boostio 100T,Cryocells 100T
aspas LEV,3 4 -1,2 2 +0,3 1 +2,5 2 +3,6 1 +5
tex LEV,1 3 -2,2 2 +0,1 5 -4,3 0 +3,5 1 +4
kiNgg LEV,6 0 +6,3 4 -1,4 0 +4,2 3 -1,1 1 +0
C0M LEV,0 2 -2,2 3 -1,2 1 +1,1 1 +0,1 3 -2
Mazino LEV,3 1 +2,4 2 +2,5 4 +1,4 1 +3,1 1 +0
