,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,2 0 +2,1 0 +1,,1 0 +1,1 0 +1
MAGNUM BBL,,,,,0 1 -1
PROFEK BBL,,,,,
Jamppi BBL,,,,,0 1 -1
sociablEE BBL,,,,,0 1 -1
