,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,,1 3 -2,0 1 -1,0 3 -3,0 4 -4
MAGNUM BBL,0 4 -4,0 2 -2,0 1 -1,1 0 +1,1 6 -5
PROFEK BBL,0 1 -1,2 1 +1,2 1 +1,0 1 -1,1 0 +1
Jamppi BBL,0 2 -2,,,,0 3 -3
sociablEE BBL,1 0 +1,2 0 +2,1 1 +0,0 3 -3,2 4 -2
