,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,6 4 +2,4 14 -10,2 8 -6,3 11 -8,6 10 -4
MAGNUM BBL,7 12 -5,4 10 -6,8 5 +3,5 5 +0,5 13 -8
PROFEK BBL,2 6 -4,6 9 -3,5 16 -11,3 9 -6,6 6 +0
Jamppi BBL,5 6 -1,5 10 -5,3 9 -6,8 2 +6,3 16 -13
sociablEE BBL,8 2 +6,8 9 -1,7 13 -6,4 11 -7,11 14 -3
